Wed Dec 28 12:54:35 2022    profile-test-chunk-mgr

         3288700 function calls (3279561 primitive calls) in 2.426 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9216    0.007    0.000    0.007    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/chunks_module.py:30(get_chunk_coordinates)
        1    0.000    0.000    0.007    0.007 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/email/parser.py:1(<module>)
        1    0.000    0.000    0.007    0.007 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:1(<module>)
      188    0.000    0.000    0.007    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2060(<listcomp>)
        1    0.000    0.000    0.007    0.007 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/email/feedparser.py:1(<module>)
      764    0.000    0.000    0.007    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2045(try_parse)
    148/3    0.000    0.000    0.007    0.002 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:776(_parseNoCache)
     22/3    0.000    0.000    0.007    0.002 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:3861(parseImpl)
   742/64    0.002    0.000    0.006    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_compile.py:87(_compile)
        2    0.000    0.000    0.006    0.003 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/subprocess.py:1110(communicate)
      422    0.000    0.000    0.006    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/selectors.py:554(select)
    23/10    0.000    0.000    0.006    0.001 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:4108(parseImpl)
    24/10    0.000    0.000    0.006    0.001 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:4373(parseImpl)
        1    0.000    0.000    0.006    0.006 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/toml/__init__.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/zipfile.py:1(<module>)
    21052    0.006    0.000    0.006    0.000 {built-in method builtins.max}
      971    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    17351    0.004    0.000    0.006    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/basic_units.py:26(__neg__)
        1    0.000    0.000    0.006    0.006 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/toml/encoder.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/email/_policybase.py:1(<module>)
       22    0.000    0.000    0.006    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:2984(parseImpl)
        4    0.000    0.000    0.006    0.001 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:2973(re_match)
        4    0.000    0.000    0.006    0.001 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:2961(re)
     4678    0.002    0.000    0.006    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/base_events.py:772(_call_soon)
      423    0.006    0.000    0.006    0.000 {method 'control' of 'select.kqueue' objects}
